Age,Gender,Country,City_Tier,Monthly_Income,Occupation,Fitness_Enthusiast,Shoes_Per_Year,Preferred_Shoe_Types,Interested_in_Customization,Preferred_Customization_Level,Interest_AI_Style_Advisor,Interest_AR_TryOn,Interest_Limited_Edition,Interest_Eco_Friendly,Interest_Single_Pair_Manufacturing,Preferred_Materials,Willing_to_Pay_More_for_Sustainable,Max_Price_Willing_to_Pay,Difficulty_in_Finding_Size,Shoe_Size,Likelihood_to_Use_App,Purchased_Custom_Before,Importance_Brand,Importance_Comfort,Importance_Design,Importance_Price,Importance_Uniqueness,Try_on_Recommendation_By_Friend,Frustration_With_Online_Shoe_Buying,Buy_if_AR_Visualization,Participate_in_Design_Contests,App_Try_Timeline
33,Male,India,Tier 2,1145.88,Student,Yes,3,"Sports, Slippers, Casual",Yes,Sole type,1,3,2,4,2,Leather,Yes,167.9,No,7.8,4,No,1,5,3,5,1,Maybe,Poor product information,Yes,Yes,Immediately
28,Male,India,Tier 1,1596.71,Student,Yes,2,Formal,No,Full Design,3,5,4,4,4,"Leather, Vegan, Knit",No,147.81,Yes,9.2,1,Yes,5,5,3,1,5,Yes,Generic design,Yes,Yes,Within 3 months
35,Female,India,Tier 1,1038.85,Professional,No,4,Ethnic,No,Material,1,3,4,2,5,"Leather, Canvas, Knit",No,130.53,No,10.6,5,Yes,5,2,5,3,2,Yes,Poor product information,No,No,Immediately
42,Female,India,Tier 3,241.22,Professional,Yes,3,Ethnic,No,Sole type,3,2,1,4,2,Vegan,Yes,119.88,No,9.5,5,No,1,4,3,1,2,Maybe,Size mismatch,Yes,Yes,Immediately
28,Male,UAE,Tier 1,2495.26,Student,No,2,"Boots, Sports, Slippers",Yes,Full Design,3,2,1,5,4,"Canvas, Recyclable materials",Yes,77.65,No,7.3,1,No,4,1,3,2,3,Yes,Long delivery time,Yes,No,Within a month
28,Other,USA,Tier 3,215.85,Self-employed,Yes,3,"Sports, Slippers",No,Full Design,3,4,4,4,2,Canvas,Yes,32.75,No,8.5,1,Yes,3,2,5,3,2,Maybe,None of the above,Yes,Yes,Immediately
42,Male,USA,Tier 2,2352.53,Entrepreneur,Yes,5,Formal,Yes,Material,2,5,1,3,2,"Knit, Canvas, Recyclable materials",Yes,124.53,Yes,8.2,5,No,3,5,2,1,1,Maybe,Generic design,No,Yes,Immediately
36,Female,India,Tier 1,3556.66,Professional,No,3,Boots,Yes,Color only,4,1,3,3,3,"Knit, Recyclable materials, Leather",Yes,151.79,No,9.1,4,No,1,4,3,3,2,Yes,Long delivery time,Yes,Yes,Within a month
26,Female,Other,Tier 1,1050.67,Self-employed,Yes,5,"Sports, Boots, Formal",No,Color only,3,5,3,1,2,"Canvas, Recyclable materials",Yes,115.67,No,11.0,2,Yes,4,3,2,5,3,Maybe,None of the above,Yes,Yes,Immediately
34,Female,India,Tier 1,1350.33,Student,Yes,1,"Ethnic, Slippers, Boots",No,Full Design,1,4,5,5,4,"Knit, Recyclable materials",No,98.61,Yes,8.8,3,No,3,5,5,3,5,Yes,Generic design,Yes,Yes,Within 3 months
26,Female,India,Tier 1,1172.21,Professional,Yes,6,"Formal, Sneakers",Yes,Full Design,1,1,4,3,3,Recyclable materials,No,138.58,No,8.9,5,Yes,2,3,3,1,3,Maybe,None of the above,Yes,Yes,Never
26,Female,USA,Tier 1,939.5,Professional,Yes,6,"Casual, Sports, Formal",Yes,Sole type,2,1,1,4,4,"Canvas, Vegan, Knit",No,116.67,No,11.7,1,Yes,1,5,5,2,1,Yes,Poor product information,No,No,Within a month
31,Male,India,Tier 1,3476.2,Self-employed,Yes,2,"Sneakers, Casual, Ethnic",Yes,Material,3,1,1,5,2,"Leather, Knit",Yes,187.43,Yes,10.3,3,Yes,3,1,5,5,2,Maybe,Generic design,Yes,No,Within a month
14,Female,India,Tier 1,3565.53,Entrepreneur,No,6,Formal,Yes,Color only,2,3,1,5,1,"Vegan, Knit, Recyclable materials",Yes,169.31,No,9.9,1,Yes,5,1,3,3,1,Maybe,Size mismatch,Yes,Yes,Within a month
16,Male,USA,Tier 2,813.79,Professional,Yes,6,"Sports, Slippers",Yes,Sole type,4,3,2,1,3,"Vegan, Canvas",Yes,158.38,Yes,11.9,2,Yes,2,3,1,1,5,No,Long delivery time,Yes,No,Within a month
25,Female,UAE,Tier 2,1632.04,Self-employed,Yes,4,"Sports, Casual",No,Material,2,1,5,3,1,"Vegan, Canvas",No,150.31,No,9.7,2,Yes,5,2,2,2,1,No,Long delivery time,No,Yes,Immediately
21,Female,USA,Tier 2,4124.05,Student,No,2,"Boots, Casual",Yes,Full Design,2,2,5,3,3,"Vegan, Canvas, Leather",No,68.39,No,6.0,5,No,1,5,3,2,4,Maybe,Poor product information,Yes,Yes,Immediately
32,Female,UK,Tier 1,5107.56,Self-employed,Yes,3,Ethnic,No,Material,1,2,2,5,5,"Canvas, Vegan",Yes,146.52,Yes,10.2,3,No,2,5,1,5,5,Maybe,Generic design,Yes,No,Within 3 months
22,Female,Other,Tier 1,1266.84,Other,Yes,5,"Boots, Sports",No,Material,3,2,1,4,1,Recyclable materials,Yes,135.05,No,6.6,3,Yes,5,4,4,2,1,No,Long delivery time,Yes,Yes,Immediately
18,Female,India,Tier 2,1104.48,Student,No,3,"Sports, Boots",Yes,Material,5,1,2,3,4,"Vegan, Canvas",Yes,144.26,Yes,9.7,2,Yes,5,3,2,2,5,No,Long delivery time,Yes,Yes,Within a month
41,Female,India,Tier 1,690.04,Entrepreneur,No,1,"Slippers, Ethnic",No,Material,3,4,4,2,2,"Canvas, Knit",No,139.7,No,6.4,1,Yes,2,5,2,1,2,Yes,Size mismatch,Yes,No,Within a month
28,Female,India,Tier 1,4986.59,Student,Yes,3,"Slippers, Casual, Boots",Yes,Material,5,5,4,5,2,Knit,Yes,138.11,No,8.3,5,No,2,3,1,1,1,Maybe,Long delivery time,Yes,Yes,Immediately
30,Male,USA,Tier 3,431.15,Professional,No,4,Ethnic,Yes,Color only,5,4,3,1,5,"Leather, Vegan, Canvas",Yes,228.03,No,8.5,4,Yes,2,4,2,5,3,No,Size mismatch,Yes,Yes,Within 3 months
18,Male,USA,Tier 2,1500.64,Professional,Yes,4,Sports,Yes,Material,2,3,2,5,4,Recyclable materials,No,116.95,Yes,7.8,2,No,1,5,5,4,1,Maybe,Generic design,Yes,Yes,Within 3 months
25,Male,Other,Tier 2,698.08,Professional,No,5,"Formal, Casual, Sports",Yes,Color only,1,1,3,1,4,"Canvas, Leather, Recyclable materials",No,157.45,No,8.5,2,No,2,1,3,1,5,No,Poor product information,Yes,No,Immediately
30,Male,UK,Tier 1,690.69,Self-employed,Yes,4,Slippers,No,Color only,2,4,3,3,1,"Recyclable materials, Leather",Yes,101.16,No,10.5,5,No,5,2,2,2,3,Yes,Size mismatch,Yes,Yes,Within 3 months
20,Female,USA,Tier 2,978.71,Professional,Yes,1,Sneakers,No,Full Design,4,2,4,2,2,Canvas,No,151.63,No,7.9,1,No,1,4,1,2,3,Yes,Size mismatch,Yes,Yes,Immediately
33,Male,India,Tier 2,10000.0,Professional,Yes,4,"Sneakers, Ethnic",Yes,Material,4,5,4,2,3,"Recyclable materials, Canvas, Vegan",Yes,157.57,No,9.8,3,Yes,1,5,1,5,1,Yes,Poor product information,No,Yes,Within 3 months
